       Energy delta[Wh]   GHI  temp  pressure  humidity  wind_speed  rain_1h  snow_1h  clouds_all  isSun  sunlightTime  dayLength  SunlightTime/daylength  weather_type  month
83            48.349650   0.0   1.4      1018        94         2.6     0.00     0.00          96      0             0        465                    0.00             4     12
84            45.600850   0.0   1.4      1019        94         2.5     0.00     0.00          99      0             0        465                    0.00             4     12
85            45.600850   0.0   1.4      1019        94         2.5     0.00     0.00          99      0             0        465                    0.00             4     12
86            45.600850   0.0   1.4      1019        94         2.5     0.00     0.00          99      0             0        465                    0.00             4     12
87            45.600850   0.0   1.4      1019        94         2.5     0.00     0.00          99      0             0        465                    0.00             4     12
88            44.721138   0.0   0.9      1019        95         2.3     0.00     0.00          99      0             0        465                    0.00             4     12
89            44.721138   0.0   0.9      1019        95         2.3     0.00     0.00          99      0             0        465                    0.00             4     12
90            44.721138   0.0   0.9      1019        95         2.3     0.00     0.00          99      0             0        465                    0.00             4     12
91            44.721138   0.0   0.9      1019        95         2.3     0.00     0.00          99      0             0        465                    0.00             4     12
92            45.868916   0.0   0.8      1020        96         2.3     0.00     0.00          97      0             0        465                    0.00             4     12
93            45.868916   0.0   0.8      1020        96         2.3     0.00     0.00          97      0             0        465                    0.00             4     12
94            45.868916   0.0   0.8      1020        96         2.3     0.00     0.00          97      0             0        465                    0.00             4     12
95            45.868916   0.0   0.8      1020        96         2.3     0.00     0.00          97      0             0        465                    0.00             4     12
96            52.142970   0.0  -0.0      1020        96         2.1     0.00     0.00          92      0             0        465                    0.00             4     12
97            52.142970   0.0  -0.0      1020        96         2.1     0.00     0.00          92      0             0        465                    0.00             4     12
98            52.142970   0.0  -0.0      1020        96         2.1     0.00     0.00          92      0             0        465                    0.00             4     12
99            52.142970   0.0  -0.0      1020        96         2.1     0.00     0.00          92      0             0        465                    0.00             4     12
100           56.290928   0.0  -0.1      1021        95         2.0     0.00     0.00          91      0             0        465                    0.00             4     12
101           56.290928   0.0  -0.1      1021        95         2.0     0.00     0.00          91      0             0        465                    0.00             4     12
102           56.290928   0.0  -0.1      1021        95         2.0     0.00     0.00          91      0             0        465                    0.00             4     12
103           56.290928   0.0  -0.1      1021        95         2.0     0.00     0.00          91      0             0        465                    0.00             4     12
104           60.180000   0.0   0.6      1021        95         2.2     0.00     0.00          89      0             0        465                    0.00             4     12
105           60.180000   0.0   0.6      1021        95         2.2     0.00     0.00          89      0             0        465                    0.00             4     12
106           60.180000   0.0   0.6      1021        95         2.2     0.00     0.00          89      0             0        465                    0.00             4     12
107           60.180000   0.0   0.6      1021        95         2.2     0.00     0.00          89      0             0        465                    0.00             4     12
108           71.683945   0.0   1.0      1022        95         2.3     0.00     0.00          85      0             0        465                    0.00             4     12
109           71.683945   0.0   1.0      1022        95         2.3     0.00     0.00          85      0             0        465                    0.00             4     12
110           71.683945   0.0   1.0      1022        95         2.3     0.00     0.00          85      0             0        465                    0.00             4     12
111           71.683945   0.0   1.0      1022        95         2.3     0.00     0.00          85      0             0        465                    0.00             4     12
112           86.556260   0.0   0.8      1022        96         2.3     0.00     0.00          80      0             0        465                    0.00             3     12
113           86.556260   0.0   0.8      1022        96         2.3     0.00     0.00          80      0             0        465                    0.00             3     12
114           86.556260   0.0   0.8      1022        96         2.3     0.00     0.00          80      0             0        465                    0.00             3     12
115           86.556260   0.0   0.8      1022        96         2.3     0.00     0.00          80      0             0        465                    0.00             3     12
116           83.724530   0.0   0.8      1023        96         2.1     0.00     0.00          81      0             0        465                    0.00             3     12
117           83.724530   0.0   0.8      1023        96         2.1     0.00     0.00          81      0             0        465                    0.00             3     12
118           83.724530   0.0   0.8      1023        96         2.1     0.00     0.00          81      0             0        465                    0.00             3     12
119           83.724530   0.0   0.8      1023        96         2.1     0.00     0.00          81      0             0        465                    0.00             3     12
120          100.737495   0.0   0.9      1023        95         2.0     0.00     0.00          78      0             0        465                    0.00             3     12
121          100.737495   0.0   0.9      1023        95         2.0     0.00     0.00          78      0             0        465                    0.00             3     12
122          100.737495   0.0   0.9      1023        95         2.0     0.00     0.00          78      0             0        465                    0.00             3     12
123          100.737495   0.0   0.9      1023        95         2.0     0.00     0.00          78      0             0        465                    0.00             3     12
124          105.213486   1.3   0.9      1024        95         1.9     0.00     0.00          78      1            15        465                    0.03             3     12
125           28.187662   5.7   0.9      1024        95         1.9     0.00     0.00          78      1            30        465                    0.06             3     12
126          312.103640  11.2   0.9      1024        95         1.9     0.00     0.00          78      1            45        465                    0.10             3     12
127          311.973660  16.7   0.9      1024        95         1.9     0.00     0.00          78      1            60        465                    0.13             3     12
128          444.037050   8.9   1.1      1024        95         2.1     0.00     0.00          76      1            75        465                    0.16             3     12
129          566.520940   3.6   1.1      1024        95         2.1     0.00     0.00          76      1            90        465                    0.19             3     12
130          571.999000   4.0   1.1      1024        95         2.1     0.00     0.00          76      1           105        465                    0.23             3     12
131         1003.185550   4.4   1.1      1024        95         2.1     0.00     0.00          76      1           120        465                    0.26             3     12
132          983.539300   6.6   1.3      1024        95         2.0     0.00     0.00          83      1           135        465                    0.29             3     12
133         1091.332400   9.1   1.3      1024        95         2.0     0.00     0.00          83      1           150        465                    0.32             3     12
134         1223.462000   6.6   1.3      1024        95         2.0     0.00     0.00          83      1           165        465                    0.35             3     12
135         1425.661900   5.2   1.3      1024        95         2.0     0.00     0.00          83      1           180        465                    0.39             3     12
136          875.008000   5.3   2.1      1025        91         2.2     0.00     0.00          71      1           195        465                    0.42             3     12
137         1092.576900   7.4   2.1      1025        91         2.2     0.00     0.00          71      1           210        465                    0.45             3     12
138          846.356140   8.7   2.1      1025        91         2.2     0.00     0.00          71      1           225        465                    0.48             3     12
139          846.902600   7.8   2.1      1025        91         2.2     0.00     0.00          71      1           240        465                    0.52             3     12
140         1098.254500   8.7   2.1      1025        85         2.5     0.00     0.00          59      1           255        465                    0.55             3     12
141          979.395900  10.2   2.1      1025        85         2.5     0.00     0.00          59      1           270        465                    0.58             3     12
142         1107.709100  11.7   2.1      1025        85         2.5     0.00     0.00          59      1           285        465                    0.61             3     12
143          793.168600  14.0   2.1      1025        85         2.5     0.00     0.00          59      1           300        465                    0.65             3     12
144          521.720700  14.6   2.2      1025        84         2.6     0.00     0.00          50      1           315        465                    0.68             2     12
145          514.588200  15.4   2.2      1025        84         2.6     0.00     0.00          50      1           330        465                    0.71             2     12
146          493.854160  15.6   2.2      1025        84         2.6     0.00     0.00          50      1           345        465                    0.74             2     12
147          425.428160  15.1   2.2      1025        84         2.6     0.00     0.00          50      1           360        465                    0.77             2     12
148          374.260560  14.4   2.2      1025        84         2.4     0.00     0.00          59      1           375        465                    0.81             3     12
149          -91.548770  12.9   2.2      1025        84         2.4     0.00     0.00          59      1           390        465                    0.84             3     12
150          -89.369460  11.0   2.2      1025        84         2.4     0.00     0.00          59      1           405        465                    0.87             3     12
151          -86.995636   8.9   2.2      1025        84         2.4     0.00     0.00          59      1           420        465                    0.90             3     12
152          -94.241356   6.2   2.1      1025        87         1.8     0.00     0.00          53      1           435        465                    0.94             3     12
153         -120.795270   2.8   2.1      1025        87         1.8     0.00     0.00          53      1           450        465                    0.97             3     12
154         -145.131670   0.2   2.1      1025        87         1.8     0.00     0.00          53      1           465        465                    1.00             3     12
155          224.209850   0.0   2.1      1025        87         1.8     0.00     0.00          53      0             0        465                    0.00             3     12
156          221.363660   0.0   1.9      1025        89         1.9     0.00     0.00          37      0             0        465                    0.00             2     12
157          221.363660   0.0   1.9      1025        89         1.9     0.00     0.00          37      0             0        465                    0.00             2     12
158          221.363660   0.0   1.9      1025        89         1.9     0.00     0.00          37      0             0        465                    0.00             2     12
159          221.363660   0.0   1.9      1025        89         1.9     0.00     0.00          37      0             0        465                    0.00             2     12
160          194.079570   0.0   1.8      1025        90         2.1     0.00     0.00          29      0             0        465                    0.00             2     12
